solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_1129_8,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,15342527,141420031,574057.229878565,25742.494966443,0.0448430811887666,0.00366708054751023,26.7997236675162,1.42452413889583e-07,141420031,574057.229878565,0,18019.7464765101,-0.3,574057.229878565,0,0.0313901568321367,0.00130304144920914,29.5624748400147,7.23118635940713e-08,-0.644665168292024,0.103088793256746
5_1129_8,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,85155480,141420031,574057.229878565,123057.052023121,0.214363735213565,11.4861674385713,26.7997236675162,9.33401804263375e-05,141420031,574057.229878565,0,86139.936416185,-0.3,574057.229878565,0,0.150054614649496,9.87224233983393,29.5624748400147,0.000114607030728885,-0.140510323166433,0.103088793256746
5_1129_8,FB_o36_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1843074,141420031,574057.229878565,6311.89726027397,0.0109952404250865,0.000590770668508343,26.7997236675162,9.35963695458979e-08,141420031,574057.229878565,0,4418.32808219178,-0.3,574057.229878565,0,0.00769666829756056,0.000216850879287209,29.5624748400147,4.90798499462349e-08,-0.632935602854585,0.103088793256746
5_1129_8,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30826560,141420031,574057.229878565,49720.2580645161,0.0866120231166392,2.17421129661565,26.7997236675162,4.37288819739116e-05,141420031,574057.229878565,0,59664.3096774194,0.2,574057.229878565,0,0.103934427739967,3.32360411255513,29.5624748400147,5.57050627171336e-05,0.528648166683985,0.103088793256746
5_1129_8,Google_listing_S,2020-05-06,2022-03-31,695 days,0.7,1.2,130749,141420031,574057.229878565,3533.75675675676,0.00615575690511603,0.0962467760650989,26.7997236675162,2.72363896810581e-05,141420031,574057.229878565,0,4240.50810810811,0.2,574057.229878565,0,0.00738690828613924,0.154658952931674,29.5624748400147,3.64717974801077e-05,0.606900088030648,0.103088793256746
5_1129_8,Google_Proslisting_S,2020-05-06,2022-03-31,695 days,0.7,1.2,5524498,141420031,574057.229878565,24019.5565217391,0.0418417455117153,0.514975219130963,26.7997236675162,2.14398304425346e-05,141420031,574057.229878565,0,16813.6895652174,-0.3,574057.229878565,0,0.0292892218582007,0.264499219303697,29.5624748400147,1.57311825151612e-05,-0.486384568659348,0.103088793256746
5_1129_8,Google_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,192049,141420031,574057.229878565,4572.59523809524,0.00796539961540511,3.09927134908705,26.7997236675162,0.000677792629285526,141420031,574057.229878565,0,5487.11428571429,0.2,574057.229878565,0,0.00955847953848613,3.49067555634715,29.5624748400147,0.000636158711954502,0.126289105784621,0.103088793256746
5_1129_8,Google_youtube_S,2020-05-06,2022-03-31,695 days,0.7,1.2,68095,141420031,574057.229878565,3242.61904761905,0.00564859891809914,0.154220872525092,26.7997236675162,4.75605892213368e-05,141420031,574057.229878565,0,3891.14285714286,0.2,574057.229878565,0,0.00677831870171896,0.22007435365256,29.5624748400147,5.65577676616463e-05,0.427007577179633,0.103088793256746
5_1129_8,Influencer_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,2336999,141420031,574057.229878565,333857,0.581574419105607,9.27037286430502,26.7997236675162,2.77674958569238e-05,141420031,574057.229878565,0,375382.454410076,0.124380960740903,574057.229878565,0,0.653911204096295,12.2352004130621,29.5624748400147,3.25939592256385e-05,0.319817508114799,0.103088793256746
