solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_305_7,(Intercept),26.9449991836969,18726.7744326693,0.376009445680454,26.9449991836969,0.234169535974971,18726.7744326693,0.376009445680454,26.9449991836969,0.234169535974971,TRUE,,,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,,,,,,,,,
1_305_7,Complementary.goods_1,0.0273820136537645,1479.72401784944,0.0297109472702882,2.12909930625818,0.0185032552122982,1479.72401784944,0.0297109472702882,2.12909930625818,0.0185032552122982,TRUE,,,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,,,,,,,,,
1_305_7,Complementary.goods_2,0.0255094539645871,601.946585202362,0.0120863100394017,0.866110194535772,0.00752705988131365,601.946585202362,0.0120863100394017,0.866110194535772,0.00752705988131365,TRUE,,,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,,,,,,,,,
1_305_7,Complementary.goods_3,-0.00305653008469202,-50.7995300075814,-0.00101998895686253,0,0,-50.7995300075814,-0.00101998895686253,0,0,FALSE,,,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,,,,,,,,,
1_305_7,FB_anotherproduct_S,0,0,0,0,0,0,0,0,0,TRUE,0.00755846952946444,0,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,1112475,8427.84090909091,0.00755846952946444,0,0,0,Inf,0,0
1_305_7,FB_female_other_S,3.84649854164575,495.071797602289,0.00994040232917615,0.775974604392302,0.00674372308568675,495.071797602289,0.00994040232917615,0.775974604392302,0.00674372308568675,TRUE,0.104241464153788,0.0967581652516602,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,15342527,25742.494966443,0.104241464153788,0.0967581652516602,1.81594312219466e-07,3.22679437098132e-05,30990.5090015353,0.00467469066824428,4.57977462122242e-07
1_305_7,FB_male_other_S,13.0976433025315,2977.13166918465,0.0597769590632208,4.28364268947431,0.0372276359720101,2977.13166918465,0.0597769590632208,4.28364268947431,0.0372276359720101,TRUE,0.578570395601626,0.581858630239186,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,85155480,123057.052023121,0.578570395601626,0.581858630239186,2.65961086943136e-05,3.49611283875641e-05,28603.1957811667,3.27283873120874,1.25893484677064e-05
1_305_7,FB_o36_similar_S,8.45427054599945,125.026963373413,0.00251037995689931,0.205298790432534,0.001784179771692,125.026963373413,0.00251037995689931,0.205298790432534,0.001784179771692,TRUE,0.0125223655988208,0.0244356063940372,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,1843074,6311.89726027397,0.0125223655988208,0.0244356063940372,5.51493396480898e-06,6.78361060778966e-05,14741.4121743912,0.0348096965830697,1.34954875044349e-05
1_305_7,FB_undefined_S,6.98428971530261,1047.96904233645,0.0210418649573619,1.52988181362985,0.0132956661810185,1047.96904233645,0.0210418649573619,1.52988181362985,0.0132956661810185,TRUE,0.209444360060413,0.204817891603013,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,30826560,49720.2580645161,0.209444360060413,0.204817891603013,7.48748586677702e-07,3.39956531749391e-05,29415.5254159723,0.037227972955057,1.40949985821121e-06
1_305_7,Google_Proslisting_S,0.841728466625203,119.654819982274,0.00240251425552714,0.414030518969805,0.00359819400422537,119.654819982274,0.00240251425552714,0.414030518969805,0.00359819400422537,TRUE,0.0375350006054853,0.0233856602235767,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,5524498,24019.5565217391,0.0375350006054853,0.0233856602235767,7.72540240382661e-08,2.16589489184852e-05,46170.2921856256,0.00185560739691892,2.26877113512986e-07
1_305_7,Google_display_S,0,0,0,0,0,0,0,0,0,TRUE,0.000684551148539662,0,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,100754,3053.15151515152,0.000684551148539662,0,0,0,Inf,0,0
1_305_7,Google_listing_S,0,0,0,0,0,0,0,0,0,TRUE,0.000888345654965682,0,0,0.0513683880033924,0.0324119322595336,0.162483666016127,254.937489725087,0.121603207705332,2094.95682060692,7,305,1,1,2439,3,130749,3533.75675675676,0.000888345654965682,0,0,0,Inf,0,0
